id,chapter_id,mode,stage_number,name_key,recommended_level,post_cap_scale,stamina_cost,time_limit,target_time,waves,reward_table_id,boss,daily_attempts
CH01-N01,CH01,NORMAL,1,STAGE_CH01_N01,1,3.5,6,90,70,"[[""ENM001"",""ENM002""],[""ENM001"",""ENM003""]]",REWARD_CH01-N01,False,0
CH01-N02,CH01,NORMAL,2,STAGE_CH01_N02,2,1.0,6,90,70,"[[""ENM001"",""ENM002"",""ENM002""],[""ENM003"",""ENM004""]]",REWARD_CH01-N02,False,0
CH01-N03,CH01,NORMAL,3,STAGE_CH01_N03,3,1.0,6,90,70,"[[""ENM005"",""ENM001""],[""ENM002"",""ENM006"",""ENM001""]]",REWARD_CH01-N03,False,0
CH01-N04,CH01,NORMAL,4,STAGE_CH01_N04,4,1.0,7,90,70,"[[""ENM003"",""ENM004""],[""ENM001"",""ENM005"",""ENM006""]]",REWARD_CH01-N04,False,0
CH01-N05,CH01,NORMAL,5,STAGE_CH01_N05,5,3.0,7,90,70,"[[""ENM002"",""ENM006""],[""ENM007""]]",REWARD_CH01-N05,False,0
CH01-N06,CH01,NORMAL,6,STAGE_CH01_N06,6,1.0,7,90,70,"[[""ENM001"",""ENM003""],[""ENM002"",""ENM004""],[""ENM007""]]",REWARD_CH01-N06,False,0
CH01-N07,CH01,NORMAL,7,STAGE_CH01_N07,7,1.0,8,90,70,"[[""ENM005"",""ENM006""],[""ENM008""]]",REWARD_CH01-N07,False,0
CH01-N08,CH01,NORMAL,8,STAGE_CH01_N08,8,1.0,8,90,70,"[[""ENM003"",""ENM004""],[""ENM008"",""ENM001""]]",REWARD_CH01-N08,False,0
CH01-N09,CH01,NORMAL,9,STAGE_CH01_N09,9,1.0,8,90,70,"[[""ENM007""],[""ENM008""],[""ENM009""]]",REWARD_CH01-N09,False,0
CH01-N10,CH01,NORMAL,10,STAGE_CH01_N10,10,1.57,9,90,70,"[[""ENM003"",""ENM006""],[""ENM007"",""ENM008""],[""BOSS001""]]",REWARD_CH01-N10,True,0
CH01-H01,CH01,HARD,1,STAGE_CH01_H01,12,2.0,12,90,70,"[[""ENM007"",""ENM002""],[""ENM009""]]",REWARD_CH01-H01,False,3
CH01-H02,CH01,HARD,2,STAGE_CH01_H02,14,1.0,12,90,70,"[[""ENM008"",""ENM006""],[""ENM007"",""ENM008""]]",REWARD_CH01-H02,False,3
CH01-H03,CH01,HARD,3,STAGE_CH01_H03,16,1.0,12,90,70,"[[""ENM009""],[""ENM007"",""ENM008""],[""BOSS001""]]",REWARD_CH01-H03,False,3
CH01-H04,CH01,HARD,4,STAGE_CH01_H04,18,1.0,13,90,70,"[[""ENM007"",""ENM009""],[""ENM008"",""ENM009""]]",REWARD_CH01-H04,False,3
CH01-H05,CH01,HARD,5,STAGE_CH01_H05,20,1.385,13,90,70,"[[""ENM007"",""ENM008""],[""ENM009"",""ENM009""],[""BOSS002""]]",REWARD_CH01-H05,True,3
